,x,y,z
femur head center left ,77.39350573892153,24.451028256880733,-54.93328667672705
femur head center right,-92.74768195718656,-4.857793272171307,-47.9998275862069
interacetabular left,49.72224391541951,24.451028256880733,-54.01091128261032
interacetabular right,-66.11124019581885,7.710437679801679,-49.89687899539413
isch spine left,39.97899710406267,71.36990412853785,-49.89687899539413
isch spine right,-69.69256334049282,55.4963888010364,-44.89689623677344
ischial tuberosity left,62.40338599550313,66.08113956622388,-97.7015208345339
ischial tuberosity right,-84.06586907189666,48.90888207556321,-97.7015208345339
symph_0,-5.02667203345292,-6.475935215786407,-88.9599551712038
symph_1,-5.180996037566214,-12.239640839397689,-79.85140741893792
symph_2,-5.255953445942948,-20.81975531940438,-72.97172729487563
