,x,y,z
femur head center left ,82.99135443425078,-28.965636636085605,-37.559244954128445
femur head center right,-97.43678012232414,-28.965636636085605,-32.66627859327218
interacetabular left,55.46841865443426,-18.568083119266035,-38.277899388379055
interacetabular right,-69.91384434250763,-22.849428685015283,-33.27789938837921
isch spine left,50.85264919614144,23.819263022508025,-47.20760000000111
isch spine right,-65.65087170418006,18.23007491961414,-42.207600000001264
ischial tuberosity left,63.1458682702239,17.825047491914518,-77.20756299694206
ischial tuberosity right,-78.89848947714215,19.352406177370064,-77.20756299694206
symph_0,-7.570998849383354,-49.127746762107485,-71.89835508848253
symph_1,-7.67251947724501,-56.10141485532575,-63.21914197191337
symph_2,-7.560364591445963,-63.66126790314211,-55.03837449977804
